"User","Genre_Match","Hit_Rate","RMSE","Diversity","Coverage"
415,0.9501,0,NA,0.2051,1
463,0.9037,0,NA,0.1667,1
179,0.9393,0,NA,0.1951,1
526,0.9594,0,NA,0.2812,1
195,0.9468,0,NA,0.2368,1
118,0.966,0,NA,0.3462,1
299,0.8618,0,NA,0.2195,1
229,0.9107,0,NA,0.1842,1
244,0.9301,0,NA,0.1951,1
14,0.9003,0,NA,0.2564,1
374,0.8979,0,NA,0.2,1
91,0.9123,0.0071,3.9843,0.1818,1
348,0.9089,0,NA,0.1818,1
355,0.84,0,NA,0.1892,1
26,0.9261,0,NA,0.2051,1
519,0.9496,0,NA,0.1667,1
426,0.9188,0,NA,0.2083,1
211,0.9387,0,NA,0.1951,1
590,0.9221,0,NA,0.2619,1
555,0.9501,0.008,3.5,0.2439,1
373,0.925,0,NA,0.2941,1
143,0.9876,0,NA,0.2703,1
544,0.96,0,NA,0.125,1
490,0.9438,0.0333,3.2648,0.25,1
23,0.906,0,NA,0.1905,1
309,0.9369,0,NA,0.3243,1
135,0.9529,0.0127,2.9437,0.2439,1
224,0.9485,0,NA,0.2069,1
166,0.8869,0,NA,0.225,1
217,0.9337,0,NA,0.1778,1
290,0.9158,0,NA,0.25,1
72,0.9202,0,NA,0.1818,1
575,0.9178,0,NA,0.1818,1
141,0.9105,0,NA,0.25,1
153,0.9429,0.0217,2.9994,0.2759,1
294,0.9431,0,NA,0.25,1
277,0.9649,0,NA,0.1951,1
609,0.8962,0,NA,0.2162,1
41,0.9544,0,NA,0.2353,1
431,0.9222,0,NA,0.2632,1
90,0.9668,0,NA,0.2258,1
316,0.904,0,NA,0.2647,1
223,0.8761,0,NA,0.234,1
528,0.9573,0,NA,0.1905,1
116,0.9034,0,NA,0.2558,1
456,0.8754,0,NA,0.2045,1
39,0.8843,0,NA,0.1957,1
159,0.9217,0,NA,0.1875,1
209,0.9059,0,NA,0.1905,1
600,0.958,0,NA,0.2571,1
34,0.9217,0,NA,0.1905,1
516,0.8152,0,NA,0.1707,1
13,0.9136,0,NA,0.1707,1
69,0.9267,0,NA,0.1818,1
409,0.9681,0,NA,0.25,1
308,0.953,0,NA,0.22,1
278,0.9406,0,NA,0.2759,1
89,0.9452,0,NA,0.1905,1
537,0.9097,0,NA,0.1818,1
291,0.9173,0,NA,0.1707,1
424,0.967,0,NA,0.2143,1
286,0.9224,0,NA,0.2195,1
121,0.8726,0,NA,0.1579,1
110,0.9671,0,NA,0.2051,1
158,0.9183,0,NA,0.2105,1
64,0.9002,0,NA,0.2286,1
483,0.9062,0.0111,3.8906,0.2955,1
477,0.9675,0.0131,3.252,0.3,1
480,0.9373,0,NA,0.2,1
67,0.9065,0,NA,0.1818,1
85,0.9447,0,NA,0.32,1
165,0.9346,0,NA,0.186,1
51,0.9365,0,NA,0.2368,1
74,0.9429,0,NA,0.2727,1
178,0.9039,0,NA,0.2162,1
362,0.9267,0,NA,0.1818,1
236,0.8597,0,NA,0.2571,1
330,0.9157,0,NA,0.2308,1
127,0.9346,0,NA,0.25,1
212,0.8957,0,NA,0.25,1
310,0.9485,0,NA,0.2632,1
243,0.9393,0.0909,4.3339,0.225,1
113,0.9591,0,NA,0.25,1
543,0.9176,0,NA,0.2727,1
151,0.9438,0,NA,0.225,1
160,0.9039,0,NA,0.2,1
391,0.9505,0,NA,0.2432,1
155,0.9465,0,NA,0.2683,1
594,0.9685,0,NA,0.2564,1
5,0.8436,0,NA,0.3056,1
326,0.9275,0.0278,3.4831,0.2564,1
280,0.9157,0.0392,3.9447,0.1935,1
238,0.9474,0,NA,0.186,1
339,0.9105,0.0108,3.3888,0.2162,1
564,0.94,0,NA,0.2857,1
137,0.9443,0,NA,0.3243,1
455,0.9538,0,NA,0.2963,1
83,0.9013,0.0303,4.4056,0.2162,1
184,0.9522,0,NA,0.1463,1
500,0.9823,0,NA,0.3056,1
