"movieId","title","genres","year","title_clean"
1,"Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy",NA,"Toy Story"
2,"Jumanji (1995)","Adventure|Children|Fantasy",NA,"Jumanji"
3,"Grumpier Old Men (1995)","Comedy|Romance",NA,"Grumpier Old Men"
5,"Father of the Bride Part II (1995)","Comedy",NA,"Father of the Bride Part II"
6,"Heat (1995)","Action|Crime|Thriller",NA,"Heat"
7,"Sabrina (1995)","Comedy|Romance",NA,"Sabrina"
9,"Sudden Death (1995)","Action",NA,"Sudden Death"
10,"GoldenEye (1995)","Action|Adventure|Thriller",NA,"GoldenEye"
11,"American President, The (1995)","Comedy|Drama|Romance",NA,"American President, The"
12,"Dracula: Dead and Loving It (1995)","Comedy|Horror",NA,"Dracula: Dead and Loving It"
14,"Nixon (1995)","Drama",NA,"Nixon"
15,"Cutthroat Island (1995)","Action|Adventure|Romance",NA,"Cutthroat Island"
16,"Casino (1995)","Crime|Drama",NA,"Casino"
17,"Sense and Sensibility (1995)","Drama|Romance",NA,"Sense and Sensibility"
18,"Four Rooms (1995)","Comedy",NA,"Four Rooms"
19,"Ace Ventura: When Nature Calls (1995)","Comedy",NA,"Ace Ventura: When Nature Calls"
20,"Money Train (1995)","Action|Comedy|Crime|Drama|Thriller",NA,"Money Train"
21,"Get Shorty (1995)","Comedy|Crime|Thriller",NA,"Get Shorty"
22,"Copycat (1995)","Crime|Drama|Horror|Mystery|Thriller",NA,"Copycat"
23,"Assassins (1995)","Action|Crime|Thriller",NA,"Assassins"
24,"Powder (1995)","Drama|Sci-Fi",NA,"Powder"
25,"Leaving Las Vegas (1995)","Drama|Romance",NA,"Leaving Las Vegas"
26,"Othello (1995)","Drama",NA,"Othello"
28,"Persuasion (1995)","Drama|Romance",NA,"Persuasion"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure|Drama|Fantasy|Mystery|Sci-Fi",NA,"City of Lost Children, The (Cité des enfants perdus, La)"
31,"Dangerous Minds (1995)","Drama",NA,"Dangerous Minds"
